Run,Pearson's r,MAE,RMSE
Seed 8,0.5088,0.6054,0.8583
Seed 12,0.4954,0.5324,0.7740
Seed 24,0.5320,0.5594,0.8233
Seed 42,0.4763,0.5895,0.8665
Seed 124,0.5031,0.5348,0.8065
