Run,Pearson's r,MAE,RMSE
Seed 8,0.4763,0.5872,0.8430
Seed 12,0.4986,0.6077,0.8638
Seed 24,0.4926,0.5672,0.8254
Seed 42,0.4710,0.5994,0.8501
Seed 124,0.4681,0.5764,0.8347
