Run,Pearson's r,MAE,RMSE
Seed 8,0.5175,0.6061,0.8526
Seed 12,0.5331,0.4984,0.7357
Seed 24,0.4157,0.5359,0.8032
Seed 42,0.5032,0.6703,0.9263
Seed 124,0.4155,0.5585,0.8285
