Run,Pearson's r,MAE,RMSE
Seed 8,0.4692,0.5240,0.7925
Seed 12,0.4266,0.5958,0.8536
Seed 24,0.4663,0.5666,0.8235
Seed 42,0.4360,0.5260,0.7916
Seed 124,0.4164,0.5468,0.8159
