Run,Pearson's r,MAE,RMSE
Seed 8,0.5147,0.5964,0.8499
Seed 12,0.5090,0.5025,0.7489
Seed 24,0.4889,0.5822,0.8303
Seed 42,0.4537,0.5746,0.8367
Seed 124,0.4872,0.5617,0.8130
