Run,Pearson's r,MAE,RMSE
Seed 8,0.5171,0.5928,0.8486
Seed 12,0.4761,0.5325,0.7999
Seed 24,0.4881,0.5548,0.8196
Seed 42,0.4616,0.5527,0.8051
Seed 124,0.4698,0.5836,0.8515
