Run,Pearson's r,MAE,RMSE
Seed 8,0.3416,0.5343,0.7661
Seed 12,0.4593,0.5372,0.8041
Seed 24,0.4086,0.5830,0.8508
Seed 42,0.4696,0.5752,0.8451
Seed 124,0.4939,0.5461,0.8001
