Run,Pearson's r,MAE,RMSE
Seed 8,0.4529,0.5538,0.8216
Seed 12,0.4606,0.5908,0.8594
Seed 24,0.4283,0.5775,0.8409
Seed 42,0.4313,0.5418,0.8220
Seed 124,0.4505,0.5435,0.8126
