Run,Pearson's r,MAE,RMSE
Seed 8,0.5041,0.5292,0.7857
Seed 12,0.4716,0.5342,0.8050
Seed 24,0.5018,0.5549,0.8209
Seed 42,0.5104,0.5116,0.7711
Seed 124,0.5008,0.5587,0.8118
