Run,Pearson's r,MAE,RMSE
Seed 8,0.5140,0.5481,0.8060
Seed 12,0.5039,0.5385,0.8023
Seed 24,0.4288,0.5615,0.8276
Seed 42,0.4793,0.5663,0.8280
Seed 124,0.5096,0.5085,0.7638
