Run,Pearson's r,MAE,RMSE
Seed 8,0.4505,0.5580,0.8335
Seed 12,0.4406,0.5774,0.8418
Seed 24,0.4571,0.5879,0.8544
Seed 42,0.4228,0.5408,0.8194
Seed 124,0.4283,0.5473,0.8262
