Run,Pearson's r,MAE,RMSE
Seed 8,0.5190,0.6058,0.8591
Seed 12,0.5367,0.5142,0.7690
Seed 24,0.5000,0.5193,0.7734
Seed 42,0.4875,0.5377,0.7891
Seed 124,0.4916,0.5144,0.7686
