Run,Pearson's r,MAE,RMSE
Seed 8,0.4843,0.5647,0.7914
Seed 12,0.5020,0.5221,0.7367
Seed 24,0.4894,0.5157,0.7318
Seed 42,0.4958,0.5346,0.7543
Seed 124,0.4793,0.5243,0.7342
