Run,Pearson's r,MAE,RMSE
Seed 8,0.5243,0.5357,0.7729
Seed 12,0.5318,0.5191,0.7502
Seed 24,0.5269,0.5327,0.7546
Seed 42,0.5457,0.5235,0.7514
Seed 124,0.5490,0.5266,0.7532
