Run,Pearson's r,MAE,RMSE
Seed 8,0.5006,0.5429,0.7588
Seed 12,0.4248,0.5667,0.7954
Seed 24,0.4973,0.5373,0.7585
Seed 42,0.4821,0.5419,0.7616
Seed 124,0.4829,0.5314,0.7475
