Run,Pearson's r,MAE,RMSE
Seed 8,0.5075,0.5538,0.7914
Seed 12,0.4982,0.5226,0.7448
Seed 24,0.5093,0.5341,0.7556
Seed 42,0.5043,0.5609,0.7842
Seed 124,0.5127,0.5320,0.7558
