Run,Pearson's r,MAE,RMSE
Seed 8,0.4900,0.5366,0.7517
Seed 12,0.4119,0.5519,0.7735
Seed 24,0.4871,0.5486,0.7595
Seed 42,0.4793,0.5321,0.7461
Seed 124,0.4580,0.5485,0.7702
