Run,Pearson's r,MAE,RMSE
Seed 8,0.5097,0.5192,0.7498
Seed 12,0.5481,0.5341,0.7619
Seed 24,0.5107,0.5131,0.7323
Seed 42,0.5068,0.5156,0.7269
Seed 124,0.5137,0.5081,0.7288
