Run,Pearson's r,MAE,RMSE
Seed 8,0.4456,0.5511,0.7558
Seed 12,0.4656,0.5240,0.7464
Seed 24,0.4983,0.5218,0.7338
Seed 42,0.4853,0.5430,0.7590
Seed 124,0.4416,0.5426,0.7590
