Run,Pearson's r,MAE,RMSE
Seed 8,0.4459,0.5335,0.7428
Seed 12,0.4648,0.5185,0.7412
Seed 24,0.4968,0.5605,0.7688
Seed 42,0.5024,0.5226,0.7319
Seed 124,0.5117,0.5157,0.7300
