Run,Pearson's r,MAE,RMSE
Seed 8,0.4895,0.5189,0.7351
Seed 12,0.4997,0.5516,0.7700
Seed 24,0.5155,0.5342,0.7380
Seed 42,0.4998,0.5312,0.7411
Seed 124,0.4733,0.5340,0.7385
