Run,Pearson's r,MAE,RMSE
Seed 8,0.4840,0.5097,0.7246
Seed 12,0.4739,0.5085,0.7304
Seed 24,0.4671,0.5068,0.7340
Seed 42,0.4786,0.5036,0.7186
Seed 124,0.4562,0.5028,0.7178
