Run,Pearson's r,MAE,RMSE
Seed 8,0.4998,0.5261,0.7467
Seed 12,0.4666,0.5380,0.7616
Seed 24,0.4955,0.5115,0.7217
Seed 42,0.5046,0.5367,0.7573
Seed 124,0.4849,0.5412,0.7613
