Run,Pearson's r,MAE,RMSE
Seed 8,0.4663,0.5173,0.7464
Seed 12,0.4827,0.5067,0.7249
Seed 24,0.4823,0.5145,0.7358
Seed 42,0.4480,0.5219,0.7484
Seed 124,0.4678,0.5055,0.7278
